Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";4;40;kg;10;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";1;60;kg;15;;;;0;"Apertura";;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";2;60;kg;20;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";3;60;kg;20;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";4;60;kg;15;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";1;60;kg;12;;;;0;"Chiusura";;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";2;60;kg;15;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";3;60;kg;15;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";4;60;kg;15;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";1;12;kg;12;;;;0;"";;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";2;12;kg;10;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";3;12;kg;10;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";4;12;kg;10;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";1;20;kg;15;;;;0;"";;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";2;30;kg;12;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";3;35;kg;10;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";4;35;kg;10;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";1;15;kg;12;;;;0;"";;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";2;20;kg;10;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";3;20;kg;10;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";4;20;kg;10;;;;0;;;1h 16m
2022-03-15 15:54:26;"Petto Bicipiti";"Bench Press (Barbell)";1;40;kg;20;;;;0;"";"Allenamento pettorali, bicipiti e addominali";1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Bench Press (Barbell)";2;55;kg;12;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Bench Press (Barbell)";3;55;kg;11;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Bench Press (Barbell)";4;55;kg;7;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";1;16;kg;12;;;;0;"";;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";2;20;kg;10;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";3;20;kg;7;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";4;20;kg;6;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Chest Fly";1;40;kg;15;;;;0;"";;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Chest Fly";2;50;kg;10;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Chest Fly";3;50;kg;9;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Chest Fly";4;50;kg;8;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Bicep Curl (Dumbbell)";1;8;kg;12;;;;0;"";;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Bicep Curl (Dumbbell)";2;12;kg;8;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Bicep Curl (Dumbbell)";3;12;kg;7;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Bicep Curl (Dumbbell)";4;12;kg;6;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Preacher Curl (Barbell)";1;7;kg;15;;;;0;"";;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Preacher Curl (Barbell)";2;17;kg;10;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Preacher Curl (Barbell)";3;17;kg;10;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Preacher Curl (Barbell)";4;17;kg;10;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Hammer Curl (Dumbbell)";1;8;kg;12;;;;0;"";;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Hammer Curl (Dumbbell)";2;8;kg;15;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Hammer Curl (Dumbbell)";3;8;kg;10;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Hammer Curl (Dumbbell)";4;8;kg;10;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Sit Up";1;;;15;;;;0;"";;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Sit Up";2;10;kg;15;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Sit Up";3;10;kg;15;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Back Extension";1;;;12;;;;0;"";;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Back Extension";2;;;12;;;;0;;;1h 23m
2022-03-15 15:54:26;"Petto Bicipiti";"Back Extension";3;;;12;;;;0;;;1h 23m
