Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";4;6;kg;8;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";1;20;kg;15;;;;0;"";;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";2;25;kg;12;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";3;25;kg;10;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";4;25;kg;10;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Sit Up";1;10;kg;15;;;;0;"";;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Sit Up";2;10;kg;15;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Sit Up";3;10;kg;15;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Back Extension";1;;;30;;;;0;"";;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Back Extension";2;;;30;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Back Extension";3;;;30;;;;0;;;1h 16m
